Vehicle Name;Retail Price;Engine Size (l);Cyl;HP;City MPG;Hwy MPG;Weight;Len;Width
Toyota Camry LE V6 4dr;22775;3;6;210;21;29;3296;189;71
Toyota Camry Solara SE 2dr;19635;2.4;4;157;24;33;3175;193;72
Toyota Camry Solara SE V6 2dr;21965;3.3;6;225;20;29;3417;193;72
Toyota Camry Solara SLE V6 2dr;26510;3.3;6;225;20;29;3439;193;72
Toyota Camry XLE V6 4dr;25920;3;6;210;21;29;3362;189;71
Toyota Celica GT-S 2dr;22570;1.8;4;180;24;33;2500;171;68
Toyota Corolla CE 4dr;14085;1.8;4;130;32;40;2502;178;67
Toyota Corolla LE 4dr;15295;1.8;4;130;32;40;2524;178;67
Toyota Corolla S 4dr;15030;1.8;4;130;32;40;2524;178;67
Toyota Echo 2dr auto;11560;1.5;4;108;33;39;2085;163;65
Toyota Echo 2dr manual;10760;1.5;4;108;35;43;2035;163;65
Toyota Echo 4dr;11290;1.5;4;108;35;43;2055;163;65
Toyota Highlander V6;27930;3.3;6;230;18;24;3935;185;72
Toyota Land Cruiser;54765;4.7;8;325;13;17;5390;193;76
Toyota Matrix XR;16695;1.8;4;130;29;36;2679;171;70
Toyota MR2 Spyder convertible 2dr;25130;1.8;4;138;26;32;2195;153;67
Toyota Prius 4dr (gas/electric);20510;1.5;4;110;59;51;2890;175;68
Toyota RAV4;20290;2.4;4;161;22;27;3119;167;68
Toyota Sequoia SR5;35695;4.7;8;240;14;17;5270;204;78
Toyota Sienna CE;23495;3.3;6;230;19;27;4120;200;77
Toyota Sienna XLE Limited;28800;3.3;6;230;19;27;4165;200;77
Toyota Tacoma;12800;2.4;4;142;22;27;2750;0;0
Toyota Tundra Access Cab V6 SR5;25935;3.4;6;190;14;17;4435;0;0
Toyota Tundra Regular Cab V6;16495;3.4;6;190;16;20;3925;0;0
Volkswagen Golf GLS 4dr;18715;2;4;115;24;31;2897;165;68
Volkswagen GTI 1.8T 2dr hatch;19825;1.8;4;180;24;31;2934;168;68
Volkswagen Jetta GL;19005;2;4;115;24;30;3034;174;68
Volkswagen Jetta GLI VR6 4dr;23785;2.8;6;200;21;30;3179;172;68
Volkswagen Jetta GLS TDI 4dr;21055;1.9;4;100;38;46;3003;172;68
Volkswagen New Beetle GLS 1.8T 2dr;21055;1.8;4;150;24;31;2820;161;68
Volkswagen New Beetle GLS convertible 2dr;23215;2;4;115;24;30;3082;161;68
Volkswagen Passat GLS 1.8T;24955;1.8;4;170;22;31;3338;184;69
Volkswagen Passat GLS 4dr;23955;1.8;4;170;22;31;3241;185;69
Volkswagen Passat GLX V6 4MOTION 4dr;33180;2.8;6;190;19;26;3721;185;69
Volkswagen Passat W8;40235;4;8;270;18;25;4067;184;69
Volkswagen Passat W8 4MOTION 4dr;39235;4;8;270;18;25;3953;185;69
Volkswagen Phaeton 4dr;65000;4.2;8;335;0;0;5194;204;75
Volkswagen Phaeton W12 4dr;75000;6;12;420;0;0;5399;204;75
Volkswagen Touareg V6;35515;3.2;6;220;15;20;5086;187;76
Volvo C70 HPT convertible 2dr;42565;2.3;5;242;20;26;3450;186;72
Volvo C70 LPT convertible 2dr;40565;2.4;5;197;21;28;3450;186;72
Volvo S40 4dr;25135;1.9;4;170;22;29;2767;178;68
Volvo S60 2.5 4dr;31745;2.5;5;208;20;27;3903;180;71
Volvo S60 R 4dr;37560;2.5;5;300;18;25;3571;181;71
Volvo S60 T5 4dr;34845;2.3;5;247;20;28;3766;180;71
Volvo S80 2.5T 4dr;37885;2.5;5;194;20;27;3691;190;72
Volvo S80 2.9 4dr;37730;2.9;6;208;20;28;3576;190;72
Volvo S80 T6 4dr;45210;2.9;6;268;19;26;3653;190;72
Volvo V40;26135;1.9;4;170;22;29;2822;180;68
Volvo XC70;35145;2.5;5;208;20;27;3823;186;73
Volvo XC90 T6;41250;2.9;6;268;15;20;4638;189;75
